name	class	tier	description
Bard	Guild - Mystic - Bard	S	Bard sends magical energy toward the largest group of enemies, stunning them for 1/2/15 seconds and causing them to take 0/0/100 increased damage while stunned. If he hits at least 1 enemy, Bard dances in celebration.
Soraka	Jade - Starcaller	S	Passive: While any ally is below 50% Health, Soraka gains an additional 15 mana per attack. Active: Soraka calls down a shower of stars over the next 2 seconds. Allies are healed for 120/180/1000 each time a star hits them.
Pyke	Whispers - Assassin	S	Pyke dives toward the lowest Health enemy and slashes in an X, dealing 325/450/5000 magic damage to his target and 150/250/5000 to other enemies struck. Enemies hit suffer 50% reduced healing for 8 seconds. If Pyke hits an enemy at or below 25/33/100% Health he executes them and immediately recasts Death From Below.
Ao Shin	Tempest - Dragon	S	Ao Shin fires a barrage of 20 lightning strikes at random enemies. Each strike deals 210/400/2500 magic damage and reduces 10 current Mana from his target.
Zoe	Shimmerscale - Spell Thief - Mage	S	Zoe nabs a spell from another dimension and casts it as if it were her own.
Yasuo	Mirage - Dragonmancer - Warrior	S	Yasuo shields himself for 180/240/2500 for 2/2/20 second and dashes through his target, slashing nearby enemies for physical damage (160/200/3000% Attack Damage AD). Every third cast his slash deals 250% damage, hits a larger area, and knocks up enemies for 2 seconds. If Yasuo hits only the last enemy left alive, he repeatedly slashes them until they die.
Aurelion Sol	Astral - Evoker - Dragon	S	Aurelion Sol summons an unstable black hole underneath a random enemy. After 2 seconds it implodes, dealing 400/700/5000 magic damage to all enemies in the area and increasing their damage taken by 20% for 10 seconds. Black holes generated after 15 seconds of combat are larger and deal 0% more damage.
Shyvana	Ragewing - Shapeshifter - Dragon	A	Shyvana transforms into Dragon Form for the rest of combat, replacing her ability with Flame Breath. She then becomes untargetable before dive-bombing the largest group of enemies, dealing 100/175/500 magic damage and stunning them for 2 seconds. After landing, Shyvana casts Flame Breath again immediately. Flame Breath: Shyvana breathes fire in a cone, dealing up to 1200/1800/30000 magic damage. While breathing fire, Shyvana is always enraged.
Talon	Guild - Assassin	A	Talon stealths for 2 seconds and flings out a ring of blades, dealing physical damage (1/1/3% Attack Damage AD) to enemies hit. He then leaps to the farthest enemy within 4 hexes and recalls the blades, dealing that damage again and dealing physical damage (3% Attack Damage AD + 120/200/700) to his target.
Ornn	Tempest - Bruiser - Legend	A	Ornn summons an elemental that charges towards Ornn through the farthest enemy, dealing 150/250/1000 magic damage to enemies hit and slowing their Attack Speed by 50% for 2 seconds. When the elemental reaches Ornn he redirects it towards another distant enemy, dealing 150/250/1000 magic damage to enemies hit and stunning them for 1/2/8 seconds.
Varus	Astral - Swiftshot	B	Varus sends out a cosmic tendril towards his target that strikes the first enemy hit, dealing physical damage (250% Attack Damage AD) and stunning them for 2 seconds. Tendrils then spread to 3 nearby enemies, dealing 100/180/300 magic damage and stunning them for the same duration.
Sona	Revel - Evoker	B	Sona plays her ultimate chord toward the farthest enemy, dealing 250/350/1000 magic damage to enemies and stunning them for 1/1/4 seconds.
Qiyana	Tempest - Assassin	B	Qiyana dashes to the best position to strike enemies with her blade, dealing 200/275/375 magic damage in a short line and disarming enemies hit for 2 seconds.
Twitch	Guild - Swiftshot	B	Twitch hurls an exploding flask at his target, dealing physical damage (1% Attack Damage AD + 40/80/150) in an area and reducing the Armor of enemies hit by 0% for 5 seconds.
Lulu	Trainer - Mystic - Evoker	B	Lulu enchants the 3/4/5 units nearest to her. Enchanted allies gain 70%/80%/120% bonus Attack Speed for 5 seconds. Enchanted enemies are stunned and transformed into a docile feline for 2 seconds, taking 20% increased damage. If there are less than 3 units nearby, Lulu will enchant herself.
Sy'fen	Whispers - Bruiser - Dragon	B	Sy'fen charges toward the farthest enemy within 3 hexes, dealing physical damage (2/2/5% of Attack Damage AD) and knocking up enemies he passes through. After charging, Sy'fen bites an enemy, dealing physical damage (5/6/30% Attack Damage AD) and ignoring 50% of the target's Armor. This bite cannot be dodged.
Neeko	Jade - Shapeshifter	B	Each Combat: Neeko disguises herself as the nearest allied champion, adding their bonus Attack Damage and Attack Speed to her own and copying all other stats except Health. She then gains a shield for 275/400/2000 plus 0/0/1% of her ally's Health. When the shield breaks, she transforms into Neeko Form, reverts back to her own stats, and casts Pop Blossom, dealing 300/425/1500 magic damage to nearby enemies and stunning them for 2 seconds. Neeko then casts Pop Blossom each time she reaches maximum mana.
Diana	Scalescorn - Assassin	B	Diana shields herself against damage over 6 seconds and summons 5/6/7 orbs to orbit around her. These orbs explode for 80/90/110 magic damage when they hit an enemy, refreshing her Shield when the final one explodes.
Sylas	Whispers - Mage - Bruiser	B	Sylas whirls his chains, dealing 110/170/240 magic damage to enemies hit and shielding himself for 365/415/475 for 6 seconds. If Sylas has already shielded himself, he hits in a larger area and applies Mana-Reave to enemies hit, increasing the cost of their next ability by 35%.
Corki	Revel - Cannoneer	B	Corki launches a barrage of 4 missiles at his target, each dealing physical damage (50%/70%/200% Attack Damage AD). The final missile is instead The Big One and deals physical damage (2/2/4% Attack Damage AD + 110/170/600) in a large area.
Illaoi	Astral - Bruiser	B	Illaoi slams her idol into the ground, summoning 3 tentacles that lash out, dealing 125/175/250 magic damage to enemies in a cone. Illaoi steals 33% Armor and Magic Resist from each enemy hit for 5 seconds.
Nami	Astral - Mage - Mystic	B	Nami launches a stream of water at her target that bounces up to 2 additional targets, prioritizing low Health targets and alternating between enemies and allies. Enemies hit take 150/200/250 magic damage and allies hit heal for 175/200/225.
Heimerdinger	Trainer - Mage	B	Heimerdinger lobs an egg at the highest percent Health enemy, dealing 225/325/475 magic damage and stunning them for 2 seconds.
Olaf	Scalescorn - Bruiser - Warrior	B	Passive: Olaf seeks glorious death, permanently gaining AD 5 Attack Damage  in Hyper Roll) whenever he dies (Current Bonus: AD Attack Damage). Active: Olaf strikes his target, dealing physical damage (2% Attack Damage AD) and gaining 0/1/1 Attack Speed for 6 seconds. If he's below 50% Health, the Attack Speed is doubled.
Thresh	Whispers - Guardian	B	Thresh hooks the farthest enemy, dealing 250/400/800 magic damage, stunning them for 2 seconds and pulling them towards himself over the duration.
